DateTime,CurrencyPair,TimeFrame,Spread,High,Open,Close,Low,Volume,CpStdDev,RSI,MovingAvg5,MovingAvg14,MovingAvg30,MovingAvg60,MovingAvg120,MovingAvg240,MovingAvg500,ORDER
2025.06.17 21:42,USDJPY,1 Minutes,2.00000000,145.24600000,145.24100000,145.23100000,145.22200000,129.00000000,0.01131241,46.10333828,145.25235108,145.25173927,145.23946287,145.20486589,145.13180506,145.01999672,144.87687058,BUY
2025.06.17 21:42,USDJPY,1 Minutes,1.00000000,145.24600000,145.24100000,145.23100000,145.22200000,129.00000000,0.01131241,46.10333828,145.25235108,145.25173927,145.23946287,145.20486589,145.13180506,145.01999672,144.87687058,BUY
2025.06.17 21:42,USDJPY,1 Minutes,5.00000000,145.24600000,145.24100000,145.23100000,145.22200000,129.00000000,0.01131241,46.10333828,145.25235108,145.25173927,145.23946287,145.20486589,145.13180506,145.01999672,144.87687058,BUY
2025.06.17 21:42,USDJPY,1 Minutes,1.00000000,145.24600000,145.24100000,145.23100000,145.22200000,129.00000000,0.01131241,46.10333828,145.25235108,145.25173927,145.23946287,145.20486589,145.13180506,145.01999672,144.87687058,BUY
2025.06.17 21:42,USDJPY,1 Minutes,2.00000000,145.24600000,145.24100000,145.23100000,145.22200000,129.00000000,0.01131241,46.10333828,145.25235108,145.25173927,145.23946287,145.20486589,145.13180506,145.01999672,144.87687058,BUY
2025.06.17 21:42,USDJPY,1 Minutes,9.00000000,145.24600000,145.24100000,145.23100000,145.22200000,129.00000000,0.01131241,46.10333828,145.25235108,145.25173927,145.23946287,145.20486589,145.13180506,145.01999672,144.87687058,BUY
2025.06.17 21:42,USDJPY,1 Minutes,2.00000000,145.24600000,145.24100000,145.23100000,145.22200000,129.00000000,0.01131241,46.10333828,145.25235108,145.25173927,145.23946287,145.20486589,145.13180506,145.01999672,144.87687058,BUY
2025.06.17 21:42,USDJPY,1 Minutes,3.00000000,145.24600000,145.24100000,145.23100000,145.22200000,129.00000000,0.01131241,46.10333828,145.25235108,145.25173927,145.23946287,145.20486589,145.13180506,145.01999672,144.87687058,BUY
2025.06.17 21:43,USDJPY,1 Minutes,7.00000000,145.24100000,145.23100000,145.24000000,145.21200000,130.00000000,0.01179578,46.32058455,145.24988086,145.25090075,145.23948078,145.20545146,145.13270669,145.02091340,144.87759684,BUY
2025.06.17 21:43,USDJPY,1 Minutes,7.00000000,145.24100000,145.23100000,145.24000000,145.21200000,130.00000000,0.01179578,46.32058455,145.24988086,145.25090075,145.23948078,145.20545146,145.13270669,145.02091340,144.87759684,BUY
