date-time,CurrencyPair,Time Frame,spread,high,open,close,low,volume,cp-stddev,rsi,MovingAvg5,MovingAvg14,MovingAvg30,MovingAvg60,MovingAvg120,MovingAvg240,MovingAvg500,ORDER
2025.06.06 22:50,USDJPY,1 Minutes,0.00000000,144.81200000,144.80900000,144.81000000,144.80000000,53.00000000,0.01039237,48.39869636,144.80650053,144.80795703,144.81646434,144.83373724,144.83086389,144.71990859,144.44136416,BUY
2025.06.06 22:50,USDJPY,1 Minutes,2.00000000,144.81200000,144.80900000,144.81000000,144.80000000,53.00000000,0.01039237,48.39869636,144.80650053,144.80795703,144.81646434,144.83373724,144.83086389,144.71990859,144.44136416,BUY
2025.06.06 22:50,USDJPY,1 Minutes,0.00000000,144.81200000,144.80900000,144.81000000,144.80000000,53.00000000,0.01039237,48.39869636,144.80650053,144.80795703,144.81646434,144.83373724,144.83086389,144.71990859,144.44136416,BUY
2025.06.06 22:50,USDJPY,1 Minutes,2.00000000,144.81200000,144.80900000,144.81000000,144.80000000,53.00000000,0.01039237,48.39869636,144.80650053,144.80795703,144.81646434,144.83373724,144.83086389,144.71990859,144.44136416,BUY
2025.06.06 22:50,USDJPY,1 Minutes,0.00000000,144.81200000,144.80900000,144.81000000,144.80000000,53.00000000,0.01039237,48.39869636,144.80650053,144.80795703,144.81646434,144.83373724,144.83086389,144.71990859,144.44136416,BUY
2025.06.06 22:50,USDJPY,1 Minutes,0.00000000,144.81200000,144.80900000,144.81000000,144.80000000,53.00000000,0.01039237,48.39869636,144.80650053,144.80795703,144.81646434,144.83373724,144.83086389,144.71990859,144.44136416,BUY
2025.06.06 22:50,USDJPY,1 Minutes,3.00000000,144.81200000,144.80900000,144.81000000,144.80000000,53.00000000,0.01039237,48.39869636,144.80650053,144.80795703,144.81646434,144.83373724,144.83086389,144.71990859,144.44136416,BUY
2025.06.06 22:50,USDJPY,1 Minutes,0.00000000,144.81200000,144.80900000,144.81000000,144.80000000,53.00000000,0.01039237,48.39869636,144.80650053,144.80795703,144.81646434,144.83373724,144.83086389,144.71990859,144.44136416,BUY
2025.06.06 22:50,USDJPY,1 Minutes,3.00000000,144.81200000,144.80900000,144.81000000,144.80000000,53.00000000,0.01039237,48.39869636,144.80650053,144.80795703,144.81646434,144.83373724,144.83086389,144.71990859,144.44136416,BUY
2025.06.06 22:50,USDJPY,1 Minutes,0.00000000,144.81200000,144.80900000,144.81000000,144.80000000,53.00000000,0.01039237,48.39869636,144.80650053,144.80795703,144.81646434,144.83373724,144.83086389,144.71990859,144.44136416,BUY
